,index,status,kw,go,score,n_kwgo,n_kw,n_go,R,kw_name,go_name,kw_def,go_def
218,104,,KW-1201,GO:0004623,0.17,82,309,268,1,Platelet aggregation inhibiting toxin,phospholipase A2 activity," Toxin which inhibits agonist-induced platelet aggregation, the self- adhesion of platelets via adhesion molecules. Numerous snake venom families have the capacity to inhibit platelet aggregation",Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.
219,105,,KW-1201,GO:0102568,0.17,77,309,230,2,Platelet aggregation inhibiting toxin,"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)"," Toxin which inhibits agonist-induced platelet aggregation, the self- adhesion of platelets via adhesion molecules. Numerous snake venom families have the capacity to inhibit platelet aggregation",Catalysis of the reaction: 1-18:1-2-18:1-phosphatidylethanolamine + H2O = 1-oleoyl-sn-glycero-3-phosphoethanolamine  + oleate + H+
220,106,,KW-1201,GO:0102567,0.16,79,309,251,3,Platelet aggregation inhibiting toxin,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)"," Toxin which inhibits agonist-induced platelet aggregation, the self- adhesion of platelets via adhesion molecules. Numerous snake venom families have the capacity to inhibit platelet aggregation","Catalysis of the reaction: 1,2-dihexadecanoyl-sn-glycero-3-phosphocholine + H2O = 1-hexadecanoyl-sn-glycero-3-phosphocholine + hexadecanoate + H+"
221,107,,KW-1201,GO:0004222,0.13,55,309,180,4,Platelet aggregation inhibiting toxin,metalloendopeptidase activity," Toxin which inhibits agonist-induced platelet aggregation, the self- adhesion of platelets via adhesion molecules. Numerous snake venom families have the capacity to inhibit platelet aggregation","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
222,108,,KW-1201,GO:0090729,0.07,275,309,4145,5,Platelet aggregation inhibiting toxin,toxin activity," Toxin which inhibits agonist-induced platelet aggregation, the self- adhesion of platelets via adhesion molecules. Numerous snake venom families have the capacity to inhibit platelet aggregation","Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
223,65,,KW-0514,GO:0005509,0.16,214,667,896,1,Muscle protein,calcium ion binding," Characteristic protein of a muscle cell. The major ones are myosin and actin, which are responsible for the contraction and relaxation of muscles",Interacting selectively and non-covalently with calcium ions (Ca2+).
224,66,,KW-0514,GO:0020037,0.14,99,667,135,2,Muscle protein,heme binding," Characteristic protein of a muscle cell. The major ones are myosin and actin, which are responsible for the contraction and relaxation of muscles","Interacting selectively and non-covalently with heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring."
225,67,,KW-0514,GO:0051015,0.11,94,667,289,3,Muscle protein,actin filament binding," Characteristic protein of a muscle cell. The major ones are myosin and actin, which are responsible for the contraction and relaxation of muscles","Interacting selectively and non-covalently with an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits."
226,68,,KW-0514,GO:0005344,0.11,72,667,73,4,Muscle protein,oxygen carrier activity," Characteristic protein of a muscle cell. The major ones are myosin and actin, which are responsible for the contraction and relaxation of muscles","Enables the directed movement of oxygen into, out of or within a cell, or between cells."
227,69,,KW-0514,GO:0008307,0.08,54,667,61,5,Muscle protein,structural constituent of muscle," Characteristic protein of a muscle cell. The major ones are myosin and actin, which are responsible for the contraction and relaxation of muscles",The action of a molecule that contributes to the structural integrity of a muscle fiber.
228,327,,KW-0839,GO:0005185,0.16,7,39,11,1,Vasoconstrictor,neurohypophyseal hormone activity, Protein which constricts the caliber of blood vessels,"The action characteristic of a neurohypophyseal hormone, any of a family of structurally and functionally related nonapeptides that are synthesized as part of a larger precursor molecule comprising a signal peptide, the nonapeptide hormone, and a neurophysin."
229,328,,KW-0839,GO:0031703,0.08,3,39,3,2,Vasoconstrictor,type 2 angiotensin receptor binding, Protein which constricts the caliber of blood vessels,Interacting selectively and non-covalently with a type 2 angiotensin receptor.
230,329,,KW-0839,GO:0031894,0.07,3,39,5,3,Vasoconstrictor,V1A vasopressin receptor binding, Protein which constricts the caliber of blood vessels,Interacting selectively and non-covalently with a V1A vasopressin receptor.
231,330,,KW-0839,GO:0031708,0.06,3,39,17,4,Vasoconstrictor,endothelin B receptor binding, Protein which constricts the caliber of blood vessels,Interacting selectively and non-covalently with an endothelin B receptor.
232,331,,KW-0839,GO:0031707,0.05,2,39,2,5,Vasoconstrictor,endothelin A receptor binding, Protein which constricts the caliber of blood vessels,Interacting selectively and non-covalently with an endothelin A receptor.
233,207,,KW-0959,GO:0004623,0.16,55,121,268,1,Myotoxin,phospholipase A2 activity, Protein which causes muscle necrosis. Myotoxins are principally found in snake venoms. The myotoxic activity can be monitored by morphological analysis and by the increase of plasma creatine kinase (CK) activity. The increase in plasma CK levels results from sarcolemmal damage due to myotoxic components of the venom,Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.
234,208,,KW-0959,GO:0102567,0.15,48,121,251,2,Myotoxin,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)", Protein which causes muscle necrosis. Myotoxins are principally found in snake venoms. The myotoxic activity can be monitored by morphological analysis and by the increase of plasma creatine kinase (CK) activity. The increase in plasma CK levels results from sarcolemmal damage due to myotoxic components of the venom,"Catalysis of the reaction: 1,2-dihexadecanoyl-sn-glycero-3-phosphocholine + H2O = 1-hexadecanoyl-sn-glycero-3-phosphocholine + hexadecanoate + H+"
235,209,,KW-0959,GO:0102568,0.11,36,121,230,3,Myotoxin,"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)", Protein which causes muscle necrosis. Myotoxins are principally found in snake venoms. The myotoxic activity can be monitored by morphological analysis and by the increase of plasma creatine kinase (CK) activity. The increase in plasma CK levels results from sarcolemmal damage due to myotoxic components of the venom,Catalysis of the reaction: 1-18:1-2-18:1-phosphatidylethanolamine + H2O = 1-oleoyl-sn-glycero-3-phosphoethanolamine  + oleate + H+
236,210,,KW-0959,GO:0005509,0.06,56,121,896,4,Myotoxin,calcium ion binding, Protein which causes muscle necrosis. Myotoxins are principally found in snake venoms. The myotoxic activity can be monitored by morphological analysis and by the increase of plasma creatine kinase (CK) activity. The increase in plasma CK levels results from sarcolemmal damage due to myotoxic components of the venom,Interacting selectively and non-covalently with calcium ions (Ca2+).
237,211,,KW-0959,GO:0090729,0.02,95,121,4145,5,Myotoxin,toxin activity, Protein which causes muscle necrosis. Myotoxins are principally found in snake venoms. The myotoxic activity can be monitored by morphological analysis and by the increase of plasma creatine kinase (CK) activity. The increase in plasma CK levels results from sarcolemmal damage due to myotoxic components of the venom,"Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
238,55,,KW-1199,GO:0090729,0.16,676,865,4145,1,Hemostasis impairing toxin,toxin activity," Toxin which interferes with hemostasis regrouping all mechanisms implicated in the cessation of blood loss through damaged vessels Hence, hemostasis impairing toxins not only interfere with platelet aggregation, the coagulation cascade, fibrinogen depletion, and fibrin clot degradation (fibrinolysis), but also provoke hemorrhage by damaging endothelial cells or disturbing their interaction with the basement membrane. Numerous snake venom families have the capacity to interfere with hemostasis","Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
239,56,,KW-1199,GO:0004623,0.13,128,865,268,2,Hemostasis impairing toxin,phospholipase A2 activity," Toxin which interferes with hemostasis regrouping all mechanisms implicated in the cessation of blood loss through damaged vessels Hence, hemostasis impairing toxins not only interfere with platelet aggregation, the coagulation cascade, fibrinogen depletion, and fibrin clot degradation (fibrinolysis), but also provoke hemorrhage by damaging endothelial cells or disturbing their interaction with the basement membrane. Numerous snake venom families have the capacity to interfere with hemostasis",Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.
240,57,,KW-1199,GO:0102568,0.13,122,865,230,3,Hemostasis impairing toxin,"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)"," Toxin which interferes with hemostasis regrouping all mechanisms implicated in the cessation of blood loss through damaged vessels Hence, hemostasis impairing toxins not only interfere with platelet aggregation, the coagulation cascade, fibrinogen depletion, and fibrin clot degradation (fibrinolysis), but also provoke hemorrhage by damaging endothelial cells or disturbing their interaction with the basement membrane. Numerous snake venom families have the capacity to interfere with hemostasis",Catalysis of the reaction: 1-18:1-2-18:1-phosphatidylethanolamine + H2O = 1-oleoyl-sn-glycero-3-phosphoethanolamine  + oleate + H+
241,58,,KW-1199,GO:0004222,0.13,118,865,180,4,Hemostasis impairing toxin,metalloendopeptidase activity," Toxin which interferes with hemostasis regrouping all mechanisms implicated in the cessation of blood loss through damaged vessels Hence, hemostasis impairing toxins not only interfere with platelet aggregation, the coagulation cascade, fibrinogen depletion, and fibrin clot degradation (fibrinolysis), but also provoke hemorrhage by damaging endothelial cells or disturbing their interaction with the basement membrane. Numerous snake venom families have the capacity to interfere with hemostasis","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
242,59,,KW-1199,GO:0102567,0.12,121,865,251,5,Hemostasis impairing toxin,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)"," Toxin which interferes with hemostasis regrouping all mechanisms implicated in the cessation of blood loss through damaged vessels Hence, hemostasis impairing toxins not only interfere with platelet aggregation, the coagulation cascade, fibrinogen depletion, and fibrin clot degradation (fibrinolysis), but also provoke hemorrhage by damaging endothelial cells or disturbing their interaction with the basement membrane. Numerous snake venom families have the capacity to interfere with hemostasis","Catalysis of the reaction: 1,2-dihexadecanoyl-sn-glycero-3-phosphocholine + H2O = 1-hexadecanoyl-sn-glycero-3-phosphocholine + hexadecanoate + H+"
243,212,,KW-1204,GO:0016504,0.16,20,113,29,1,Blood coagulation cascade activating toxin,peptidase activator activity," Toxin which activates the blood coagulation cascade, which leads to the production of fibrin clots. Blood coagulation activating toxins include a variety of snake venom proteases","Binds to and increases the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds."
244,213,,KW-1204,GO:0008236,0.15,21,113,50,2,Blood coagulation cascade activating toxin,serine-type peptidase activity," Toxin which activates the blood coagulation cascade, which leads to the production of fibrin clots. Blood coagulation activating toxins include a variety of snake venom proteases",Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).
245,214,,KW-1204,GO:0004252,0.09,46,113,418,3,Blood coagulation cascade activating toxin,serine-type endopeptidase activity," Toxin which activates the blood coagulation cascade, which leads to the production of fibrin clots. Blood coagulation activating toxins include a variety of snake venom proteases","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
246,215,,KW-1204,GO:0008237,0.02,4,113,70,4,Blood coagulation cascade activating toxin,metallopeptidase activity," Toxin which activates the blood coagulation cascade, which leads to the production of fibrin clots. Blood coagulation activating toxins include a variety of snake venom proteases","Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
247,216,,KW-1204,GO:0090729,0.02,64,113,4145,5,Blood coagulation cascade activating toxin,toxin activity," Toxin which activates the blood coagulation cascade, which leads to the production of fibrin clots. Blood coagulation activating toxins include a variety of snake venom proteases","Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
248,227,,KW-0401,GO:0050839,0.14,20,103,60,1,Integrin,cell adhesion molecule binding, Protein of the integrin family of cell surface heterodimeric receptors that mediates dynamic cell-to-cell as well as cell-to-matrix adhesion Integrins function as mechanochemical sensors and transducers able to change rapidly and reversibly their adhesive functions by modulating their ligand-binding affinity. Each subunit has a large N-terminal extracellular domain followed by a transmembrane domain and a short C- terminal cytoplasmic region. Some subclasses of integrins share a common beta chain while having different alpha chains,Interacting selectively and non-covalently with a cell adhesion molecule.
249,228,,KW-0401,GO:0098639,0.1,10,103,10,2,Integrin,collagen binding involved in cell-matrix adhesion, Protein of the integrin family of cell surface heterodimeric receptors that mediates dynamic cell-to-cell as well as cell-to-matrix adhesion Integrins function as mechanochemical sensors and transducers able to change rapidly and reversibly their adhesive functions by modulating their ligand-binding affinity. Each subunit has a large N-terminal extracellular domain followed by a transmembrane domain and a short C- terminal cytoplasmic region. Some subclasses of integrins share a common beta chain while having different alpha chains,Any collagen binding that occurs as part of cell-matrix adhesion.
250,229,,KW-0401,GO:0004872,0.08,37,103,404,3,Integrin,receptor activity, Protein of the integrin family of cell surface heterodimeric receptors that mediates dynamic cell-to-cell as well as cell-to-matrix adhesion Integrins function as mechanochemical sensors and transducers able to change rapidly and reversibly their adhesive functions by modulating their ligand-binding affinity. Each subunit has a large N-terminal extracellular domain followed by a transmembrane domain and a short C- terminal cytoplasmic region. Some subclasses of integrins share a common beta chain while having different alpha chains,Combining with an extracellular or intracellular messenger to initiate a change in cell activity.
251,230,,KW-0401,GO:0043236,0.08,9,103,24,4,Integrin,laminin binding, Protein of the integrin family of cell surface heterodimeric receptors that mediates dynamic cell-to-cell as well as cell-to-matrix adhesion Integrins function as mechanochemical sensors and transducers able to change rapidly and reversibly their adhesive functions by modulating their ligand-binding affinity. Each subunit has a large N-terminal extracellular domain followed by a transmembrane domain and a short C- terminal cytoplasmic region. Some subclasses of integrins share a common beta chain while having different alpha chains,"Interacting selectively and non-covalently with laminins, glycoproteins that are major constituents of the basement membrane of cells."
252,231,,KW-0401,GO:0001968,0.08,9,103,20,5,Integrin,fibronectin binding, Protein of the integrin family of cell surface heterodimeric receptors that mediates dynamic cell-to-cell as well as cell-to-matrix adhesion Integrins function as mechanochemical sensors and transducers able to change rapidly and reversibly their adhesive functions by modulating their ligand-binding affinity. Each subunit has a large N-terminal extracellular domain followed by a transmembrane domain and a short C- terminal cytoplasmic region. Some subclasses of integrins share a common beta chain while having different alpha chains,"Interacting selectively and non-covalently with a fibronectin, a group of related adhesive glycoproteins of high molecular weight found on the surface of animal cells, connective tissue matrices, and in extracellular fluids."
253,163,,KW-0382,GO:0008191,0.13,23,165,29,1,Hypotensive agent,metalloendopeptidase inhibitor activity," Protein which can cause hypotension, i.e. low blood pressure or a sudden drop in blood pressure","Stops, prevents or reduces the activity of metalloendopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain and contain a chelated metal ion at their active sites which is essential to their catalytic activity."
254,164,,KW-0382,GO:0005179,0.07,42,165,489,2,Hypotensive agent,hormone activity," Protein which can cause hypotension, i.e. low blood pressure or a sudden drop in blood pressure","The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process."
255,165,,KW-0382,GO:0090729,0.03,140,165,4145,3,Hypotensive agent,toxin activity," Protein which can cause hypotension, i.e. low blood pressure or a sudden drop in blood pressure","Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
256,166,,KW-0382,GO:0031835,0.02,3,165,6,4,Hypotensive agent,substance P receptor binding," Protein which can cause hypotension, i.e. low blood pressure or a sudden drop in blood pressure",Interacting selectively and non-covalently with a substance P receptor.
257,167,,KW-0382,GO:0004623,0.01,3,165,268,5,Hypotensive agent,phospholipase A2 activity," Protein which can cause hypotension, i.e. low blood pressure or a sudden drop in blood pressure",Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.
258,263,,KW-1200,GO:0004222,0.13,29,65,180,1,Hemorrhagic toxin,metalloendopeptidase activity, Toxin which induces the leakage of blood components into tissues by damaging endothelial cells or disturbing endothelial cell interactions with the basement membrane. Hemorrhagic toxins are mostly found in snake venoms,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
259,264,,KW-1200,GO:0008237,0.07,9,65,70,2,Hemorrhagic toxin,metallopeptidase activity, Toxin which induces the leakage of blood components into tissues by damaging endothelial cells or disturbing endothelial cell interactions with the basement membrane. Hemorrhagic toxins are mostly found in snake venoms,"Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
260,265,,KW-1200,GO:0001716,0.04,5,65,53,3,Hemorrhagic toxin,L-amino-acid oxidase activity, Toxin which induces the leakage of blood components into tissues by damaging endothelial cells or disturbing endothelial cell interactions with the basement membrane. Hemorrhagic toxins are mostly found in snake venoms,Catalysis of the reaction: a L-amino acid + H2O + O2 = a 2-oxo acid + NH3 + hydrogen peroxide.
261,266,,KW-1200,GO:0004623,0.01,3,65,268,4,Hemorrhagic toxin,phospholipase A2 activity, Toxin which induces the leakage of blood components into tissues by damaging endothelial cells or disturbing endothelial cell interactions with the basement membrane. Hemorrhagic toxins are mostly found in snake venoms,Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.
262,267,,KW-1200,GO:0005509,0.01,6,65,896,5,Hemorrhagic toxin,calcium ion binding, Toxin which induces the leakage of blood components into tissues by damaging endothelial cells or disturbing endothelial cell interactions with the basement membrane. Hemorrhagic toxins are mostly found in snake venoms,Interacting selectively and non-covalently with calcium ions (Ca2+).
263,232,,KW-1206,GO:0004222,0.13,33,100,180,1,Fibrinogenolytic toxin,metalloendopeptidase activity, Toxin involved in fibrinogen degradation leading to a decrease of plasma fibrinogen concentration. Fibrinogenolytic toxins are mostly snake venom proteases,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
264,233,,KW-1206,GO:0004252,0.05,24,100,418,2,Fibrinogenolytic toxin,serine-type endopeptidase activity, Toxin involved in fibrinogen degradation leading to a decrease of plasma fibrinogen concentration. Fibrinogenolytic toxins are mostly snake venom proteases,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
265,234,,KW-1206,GO:0008237,0.05,8,100,70,3,Fibrinogenolytic toxin,metallopeptidase activity, Toxin involved in fibrinogen degradation leading to a decrease of plasma fibrinogen concentration. Fibrinogenolytic toxins are mostly snake venom proteases,"Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
266,235,,KW-1206,GO:0008236,0.04,6,100,50,4,Fibrinogenolytic toxin,serine-type peptidase activity, Toxin involved in fibrinogen degradation leading to a decrease of plasma fibrinogen concentration. Fibrinogenolytic toxins are mostly snake venom proteases,Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).
267,236,,KW-1206,GO:0090729,0.02,74,100,4145,5,Fibrinogenolytic toxin,toxin activity, Toxin involved in fibrinogen degradation leading to a decrease of plasma fibrinogen concentration. Fibrinogenolytic toxins are mostly snake venom proteases,"Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
268,139,,KW-1218,GO:0019855,0.13,31,221,48,1,Voltage-gated calcium channel impairing toxin,calcium channel inhibitor activity, Protein which interferes with the function of voltage-gated calcium channels (Cav) which are membrane proteins forming a channel in a biological membrane selectively permeable to calcium ions and open in response to a change in membrane potential. They are mostly found spider and cone snail venoms,"Stops, prevents, or reduces the activity of a calcium channel."
269,140,,KW-1218,GO:0008200,0.06,51,221,741,2,Voltage-gated calcium channel impairing toxin,ion channel inhibitor activity, Protein which interferes with the function of voltage-gated calcium channels (Cav) which are membrane proteins forming a channel in a biological membrane selectively permeable to calcium ions and open in response to a change in membrane potential. They are mostly found spider and cone snail venoms,"Stops, prevents, or reduces the activity of an ion channel."
270,141,,KW-1218,GO:0090729,0.05,214,221,4145,3,Voltage-gated calcium channel impairing toxin,toxin activity, Protein which interferes with the function of voltage-gated calcium channels (Cav) which are membrane proteins forming a channel in a biological membrane selectively permeable to calcium ions and open in response to a change in membrane potential. They are mostly found spider and cone snail venoms,"Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
271,142,,KW-1218,GO:0019871,0.02,6,221,80,4,Voltage-gated calcium channel impairing toxin,sodium channel inhibitor activity, Protein which interferes with the function of voltage-gated calcium channels (Cav) which are membrane proteins forming a channel in a biological membrane selectively permeable to calcium ions and open in response to a change in membrane potential. They are mostly found spider and cone snail venoms,"Stops, prevents, or reduces the activity of a sodium channel."
272,40,,KW-0156,GO:0003682,0.12,296,1939,861,1,Chromatin regulator,chromatin binding, Protein controlling the opening or closing of chromatin,"Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."
273,41,,KW-0156,GO:0042393,0.1,207,1939,296,2,Chromatin regulator,histone binding, Protein controlling the opening or closing of chromatin,"Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of eukaroytic chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity."
274,42,,KW-0156,GO:0046872,0.06,386,1939,5010,3,Chromatin regulator,metal ion binding, Protein controlling the opening or closing of chromatin,Interacting selectively and non-covalently with any metal ion.
275,43,,KW-0156,GO:0003713,0.06,125,1939,415,4,Chromatin regulator,transcription coactivator activity, Protein controlling the opening or closing of chromatin,"Interacting selectively and non-covalently with a activating transcription factor and also with the basal transcription machinery in order to increase the frequency, rate or extent of transcription. Cofactors generally do not bind the template nucleic acid, but rather mediate protein-protein interactions between activating transcription factors and the basal transcription machinery."
276,44,,KW-0156,GO:0035064,0.06,115,1939,137,5,Chromatin regulator,methylated histone binding, Protein controlling the opening or closing of chromatin,Interacting selectively and non-covalently with a histone in which a residue has been modified by methylation. Histones are any of a group of water-soluble proteins found in association with the DNA of eukaroytic chromosomes.
277,30,,KW-0217,GO:0043565,0.12,946,6285,2464,1,Developmental protein,sequence-specific DNA binding," Protein involved in development, the process whereby a multicellular organism develops from its early immature forms, e.g., zygote, larva, embryo, into an adult","Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding."
278,31,,KW-0217,GO:0003700,0.09,834,6285,3676,2,Developmental protein,DNA binding transcription factor activity," Protein involved in development, the process whereby a multicellular organism develops from its early immature forms, e.g., zygote, larva, embryo, into an adult",Interacting selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene in order to modulate transcription.
279,32,,KW-0217,GO:0003677,0.09,1153,6285,7798,3,Developmental protein,DNA binding," Protein involved in development, the process whereby a multicellular organism develops from its early immature forms, e.g., zygote, larva, embryo, into an adult",Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
280,33,,KW-0217,GO:0046872,0.06,589,6285,5010,4,Developmental protein,metal ion binding," Protein involved in development, the process whereby a multicellular organism develops from its early immature forms, e.g., zygote, larva, embryo, into an adult",Interacting selectively and non-covalently with any metal ion.
281,34,,KW-0217,GO:0005102,0.03,191,6285,406,5,Developmental protein,receptor binding," Protein involved in development, the process whereby a multicellular organism develops from its early immature forms, e.g., zygote, larva, embryo, into an adult","Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."
282,80,,KW-0629,GO:0090729,0.12,521,554,4145,1,Postsynaptic neurotoxin,toxin activity, Protein which acts as a neurotoxin at the postsynaptic membrane. They bind to acetylcholine receptors and so inhibit their activity,"Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
283,81,,KW-0629,GO:0030550,0.11,65,554,113,2,Postsynaptic neurotoxin,acetylcholine receptor inhibitor activity, Protein which acts as a neurotoxin at the postsynaptic membrane. They bind to acetylcholine receptors and so inhibit their activity,Interacting (directly or indirectly) with acetylcholine receptors such that the proportion of receptors in the active form is decreased.
284,82,,KW-0629,GO:0008200,0.01,8,554,741,3,Postsynaptic neurotoxin,ion channel inhibitor activity, Protein which acts as a neurotoxin at the postsynaptic membrane. They bind to acetylcholine receptors and so inhibit their activity,"Stops, prevents, or reduces the activity of an ion channel."
285,83,,KW-0629,GO:0004623,0.01,6,554,268,4,Postsynaptic neurotoxin,phospholipase A2 activity, Protein which acts as a neurotoxin at the postsynaptic membrane. They bind to acetylcholine receptors and so inhibit their activity,Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.
286,84,,KW-0629,GO:0102568,0.01,4,554,230,5,Postsynaptic neurotoxin,"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)", Protein which acts as a neurotoxin at the postsynaptic membrane. They bind to acetylcholine receptors and so inhibit their activity,Catalysis of the reaction: 1-18:1-2-18:1-phosphatidylethanolamine + H2O = 1-oleoyl-sn-glycero-3-phosphoethanolamine  + oleate + H+
287,183,,KW-0916,GO:0004197,0.11,24,153,93,1,Viral movement protein,cysteine-type endopeptidase activity, Plant viral protein that enables the viral nucleic acid to move between adjacent plant cells via the plasmodesmata,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile."
288,184,,KW-0916,GO:0005198,0.05,30,153,486,2,Viral movement protein,structural molecule activity, Plant viral protein that enables the viral nucleic acid to move between adjacent plant cells via the plasmodesmata,The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell.
289,185,,KW-0916,GO:0003697,0.04,8,153,82,3,Viral movement protein,single-stranded DNA binding, Plant viral protein that enables the viral nucleic acid to move between adjacent plant cells via the plasmodesmata,Interacting selectively and non-covalently with single-stranded DNA.
